Element,Relative Atomic Mass,Atomic Number,Ionization Potential,Electronegativity,Number of d electrons,ZIF or MOF Derived,Hard or Soft Templated,Graphene/Carbon Nanosheets or other 2D Structures,Polymer Derived,Carbon Nanofiber/Nanotubes,Carbon Black Derived,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),Pyridinic N Ratio,Pyrrolic N Ratio,Graphitic N Ratio,Oxidized N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Acid Wash,Pyrolysis Temperature (°„C),Pyrolysis Time (h),Rising Rate (°„C min-1),Flow Cell/H-type Cell,Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Nafion Membrane Thickness (¶Ãm),Carbon Paper/Glassy Carbon,Electrode Area cm2,Electrolyte pH,FE of Product (CO) at -0.5V (vs.RHE),FE of Product (CO) at -0.6V (vs.RHE),FE of Product (CO) at -0.7V (vs.RHE),FE of Product (CO) at -0.8V (vs.RHE),FE of Product (CO) at -0.9V (vs.RHE),Potential for Maximum FE of Product (CO) (vs.RHE),"corresponding overpotential (eV) ¶«=E-Eo,CO£¨-0.11 eV£¨Formate£¨-0.011",Overpotential (V),Maximum FE,FE90,FE95,ovpCL
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.351,2.86,4,38.28954017,0,35.74406266,25.96639717,1.246563325,1102.2,0,1000,3,5,0,0.5,0.4,177.8,1,1,7.2,96.5856,89.34163,82.09766,74.85369,67.60972,-0.5,-0.39,0.39,96.65,1,1,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,2.6,2.67,4,39.49896804,0,39.94021778,20.56081418,1.305348993,1168.43,0,1000,3,5,0,0.5,0.4,177.8,1,1,7.2,93.01994,91.66979,90.31964,88.96949,87.61934,-0.46,-0.35,0.35,93.7,1,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,2.8,2.77,4,41.20558932,0,33.82417445,24.97023623,1.317824269,1370.71,0,1000,3,5,0,0.5,0.4,177.8,1,1,7.2,91.26704,89.19239,87.11774,85.04309,82.96844,-0.49,-0.38,0.38,91.52,1,0,0
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,1.65,4.682281347,4,35.53190938,8.768789286,48.11496023,9.197716492,1.009520503,334.9,1,900,3,5,0,0.5,0.25,127,1,1,7.2,15.87118,58.64659,81.50428,90.13882,89.68856,-0.8,-0.69,0.69,90.13,1,0,1
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.11,8.01,4,68.15028581,11.16044176,20.68927243,0,1.04,347.2,0,950,2,4.269489743,0,0.5,1,177.8,1,1,7.2,45.35676,46.08971,35.88901,20.78752,5.68603,-0.52,-0.41,0.41,49.2,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.17,10.82,4,65.56014428,23.65518323,10.78467249,0,0.78,580.5,0,950,2,5.108895052,0,0.5,1,177.8,1,1,7.2,71.36042,74.34289,56.33292,34.30898,12.28504,-0.52,-0.41,0.41,77.5,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.16,10.1,4,63.862496,16.90776129,19.22974271,0,1.03,678.2,0,950,2,4.212221209,0,0.5,1,177.8,1,1,7.2,93.26272,95.92859,88.85939,76.18189,63.50439,-0.52,-0.41,0.41,99,1,1,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,2.7,5.71,4,46.25958761,18.06952884,17.78065544,17.89022811,1.072196267,583.1,0,950,2,5,0,0.1,0.6,177.8,0,1,6.8,87.30078,96.11483,92.75203,78.66976,64.58749,-0.56,-0.45,0.45,96.05,1,1,0
Zn,65.38,30,9.35,1.65,10,1,0,0,0,0,0,0,0.1,5.56,4,47.0357717,22.82958199,14.539791,15.59485531,1.073079504,637.2,0,950,2,5,0,0.1,0.6,177.8,0,1,6.8,43.48525,80.49017,96.55595,98.48817,96.55595,-0.86,-0.75,0.75,99.27,1,1,1
Zn,65.38,30,9.35,1.65,10,1,0,0,0,0,0,0,4,9.51,4,46.64767966,20.44955542,16.16022322,16.74254171,1.127249137,858.9,0,950,2,5,0,0.1,0.6,177.8,0,1,6.8,40.29599,44.94519,34.60068,26.6888,18.77692,-0.56,-0.45,0.45,48.46,0,0,0
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,0.872,5.3,4,53.43117011,32.99115044,10.39429695,3.183382498,0.94,178.4,1,600,2,5,0,0.5,0.6,177.8,1,1,7.2,23.61331,35.37966,54.55829,68.21659,59.94904,-0.8,-0.69,0.69,68.21,0,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,0.917,3.59,3,50.43117011,29.99115044,16.39429695,3.183382498,0.93,322.1,1,800,2,5,0,0.5,0.6,177.8,1,1,7.2,31.90677,59.50845,72.15598,91.33461,81.87488,-0.8,-0.69,0.69,91.33461,1,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,0.889,2.83,2,47.43117011,26.99115044,22.39429695,3.183382498,0.91,280.8,1,900,2,5,0,0.5,0.6,177.8,1,1,7.2,37.55669,62.41116,76.95064,97.86572,86.98055,-0.8,-0.69,0.69,97.86572,1,1,1
none,0,0,0,0,0,0,0,1,0,0,0,0,0,0.73113,0,26.35439324,9.747584602,59.39602408,4.501998078,2.6,309,0,900,3,3.417064776,0,0.5,0.589,177.8,0,0.070685835,7.5,2.98069,6.54701,13.2466,27.53737,55.68584,-1,-0.89,0.89,65.11112,0,0,1
none,0,0,0,0,0,0,0,1,0,0,0,0,0,2.26784,0,31.19572751,53.79754576,14.45635778,0.550368951,2.9,312,0,500,3,2.25147049,0,0.5,0.589,177.8,0,0.070685835,7.5,3.82132,6.11396,10.11333,20.40472,38.66938,-1,-0.89,0.89,39.68833,0,0,1
none,0,0,0,0,0,0,0,1,0,0,0,0,0,1.83089,0,29.41815466,39.45617489,25.96238713,5.163283319,2.8,327,0,700,3,3.135616437,0,0.5,0.589,177.8,0,0.070685835,7.5,5.24785,8.25375,20.83777,42.66876,86.38168,-1,-0.89,0.89,86.38168,0,0,1
none,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0745,0,25.07758566,35.80024067,29.33054658,9.791627082,2.6,321,0,700,3,3.470521156,0,0.5,0.589,177.8,0,0.070685835,7.5,2.54764,3.54111,9.24723,12.83902,19.97167,-0.9,-0.79,0.79,19.97167,0,0,1
none,0,0,0,0,0,0,0,1,0,0,0,0,0,0.53623,0,26.99242002,38.06689221,31.52755771,3.413130059,2.4,301,0,700,3,4.179670164,0,0.5,0.589,177.8,0,0.070685835,7.5,2.26742,4.84027,7.41312,9.83312,15.41187,-0.9,-0.79,0.79,15.41187,0,0,1
Cu,63.546,29,7.69,1.9,10,0,0,1,0,0,0,0,1.3,5.650482986,3.6,37.01709202,24.52977445,38.45313354,0,1.123898584,646,1,900,1,5,0,0.1,0.5,177.8,0,1.5,6.8,69.14575,69.14575,72.16639,63.28391,43.51517,-0.7,-0.59,0.59,72.16639,0,0,1
Cu,63.546,29,7.69,1.9,10,0,0,1,0,0,0,0,1.4,4.776087741,3.7,16.70945418,20.57149235,14.14220337,48.57685009,1.124477534,673,1,900,1,5,0,0.1,0.5,177.8,0,1.5,6.8,66.76169,71.707,64.38061,62.12165,55.28369,-0.6,-0.49,0.49,71.707,0,0,0
Zn,65.38,30,9.35,1.65,10,1,0,0,0,0,0,0,7.54,10.28,4,69.35797665,15.6614786,9.824902724,5.155642023,0.89,368.3,1,900,4,3,0,1,2,127,1,1.685367555,8.8,0.05,0.05,3.32,2.6,1.88,-0.74,-0.63,0.63,5.14,0,0,1
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,1.78,6.91,4,56.43994211,25.03617945,11.72214182,6.801736614,1.05,817.7,1,900,4,3,0,1,2,127,1,2.277920029,8.8,81.53096,71.459,56.80732,40.3726,23.93788,-0.43,-0.32,0.32,84.81,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,1.47,10.15,4,70.14778325,15.27093596,11.42857143,3.15270936,0.94,705,1,900,4,3,0,1,2,127,1,2.438486238,8.8,89.3195,81.61795,67.50061,47.50233,27.50405,-0.43,-0.32,0.32,93.19,1,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,2.04,9.51,4,72.55520505,18.29652997,7.150368034,1.997896951,1.02,724.2,1,900,4,3,0,1,2,127,1,2.42327977,8.8,83.49411,78.78033,68.56892,56.58319,44.59746,-0.43,-0.32,0.32,85.29131,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,1.47,10.15,4,70.14778325,15.27093596,11.42857143,3.15270936,0.94,705,1,900,4,3,0,0.1,2,127,1,1.953163891,6.8,87.84456,90.54495,90.97938,87.98516,84.99094,-0.67,-0.56,0.56,91.7,1,0,1
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,1.47,10.15,4,70.14778325,15.27093596,11.42857143,3.15270936,0.94,705,1,900,4,3,0,0.5,2,127,1,2.011594904,7.2,89.9211,88.71757,85.39294,80.21852,75.0441,-0.53,-0.42,0.42,90.3,1,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.27,10.15,4,59.21938089,20.86137281,15.61238223,4.306864065,0.94,705,1,900,4,3,0,1,2,127,1,2.397485497,8.8,87.70795,80.05736,68.72504,51.7741,34.82316,-0.43,-0.32,0.32,90.3,1,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.64,10.15,4,61.49936468,19.69504447,14.73951715,4.066073698,0.94,705,1,900,4,3,0,1,2,127,1,2.534032284,8.8,81.56893,74.37474,62.45567,48.41599,34.37631,-0.33,-0.22,0.22,84.89,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,1,0,0.4726206,3.308344198,4,37.8,44.1,13,5.1,0.95753241,55.93264,1,900,1,30,0,0.1,0.75,50,0,1,6.8,63.32399,68.02332,59.46703,40.73097,21.99491,-0.58,-0.47,0.47,68.6,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,1,0,0.472466601,3.76344086,3.5,41,45.9,10.5,2.6,0.943136289,85.99306,1,900,1,30,0,0.1,0.75,50,0,1,6.8,68.68708,72.16086,46.19785,33.20354,20.20923,-0.62,-0.51,0.51,72.62,0,0,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,1,0,0.927554774,4.365904366,3.8,46.5,42.1,8.6,2.8,0.943834423,102.20606,1,900,1,30,0,0.1,0.75,50,0,1,6.8,32.03734,63.06677,32.03734,24.58376,17.13018,-0.53,-0.42,0.42,72.76,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,1,0,0.931278099,4.046242775,3.8,49.5,36.9,10.1,3.5,0.948667068,199.25331,1,900,1,30,0,0.1,0.75,50,0,1,6.8,82.82037,80.75729,67.38979,44.27165,27.31271,-0.52,-0.41,0.41,85.58,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,1,0,0.927554774,4.142011834,4,45.1,40.3,10.7,3.9,0.966552058,145.88309,1,900,1,30,0,0.1,0.75,50,0,1,6.8,77.09915,57.88464,32.40346,22.12795,11.85244,-0.53,-0.42,0.42,77.3,0,0,0
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,5,4.890768374,4,44.54040716,0,55.45959284,0,1.289380073,791.9699768,1,750,2,3,0,0.1,0.2,177.8,0,2,6.8,11.87135,31.96411,58.86022,88.82668,62.78695,-0.82,-0.71,0.71,92.62,1,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,5,4.791752391,4,44.54040716,0,55.45959284,0,1.295156703,821.3577926,1,750,2,3,0,0.5,0.2,177.8,0,2,7.2,23.85157,59.9043,88.7687,75.68062,63.75339,-0.75,-0.64,0.64,95.63,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,5,5.143888143,4,44.54040716,0,55.45959284,0,1.230259538,728.7335531,1,750,2,3,0,1,0.2,177.8,0,2,8.8,65.20158,86.08449,90.41987,89.70197,70.98368,-0.78,-0.67,0.67,92.5,1,0,1
Sn,118.71,50,7.37,1.96,10,0,0,0,1,0,0,0,43.33410461,2.497919451,4,25.6,0,74.4,0,1.029338078,610.3448505,0,900,2,3,0,0.1,0.325,177.8,1,1,6.8,37.94337,39.56563,38.88767,24.35994,15.54646,-0.6,-0.49,0.49,39.56563,0,0,0
Sn,118.71,50,7.37,1.96,10,0,0,0,1,0,0,0,16.24969381,2.370282849,4,24.8,0,75.2,0,1.3,763.4571952,0,1000,2,3,0,0.1,0.325,177.8,1,1,6.8,62.51944,54.50498,36.17583,25.18318,15.13484,-0.5,-0.39,0.39,62.51944,0,0,0
Sn,118.71,50,7.37,1.96,10,0,0,0,1,0,0,0,1.54839972,1.380985766,4,0,0,100,0,1.159866736,598.1531838,0,1100,2,3,0,0.1,0.325,177.8,1,1,6.8,21.6481,27.07179,32.64075,18.2583,14.04526,-0.7,-0.59,0.59,32.64075,0,0,1
Mn,54.938,25,7.4,1.55,5,1,0,0,0,0,0,0,1.184569487,3.685327292,4,48.2,29.2,10.2,12.4,1.098105433,311,0,1050,1,5.609908958,0,0.1,0.8,177.8,0,0.196,6.7,80.68152,72.29049,63.89946,55.50843,47.1174,-0.5,-0.39,0.39,80.68152,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.812143479,7.444648555,5,47.2,31.5,10.9,10.4,1.066881382,333,0,1050,1,7.225346739,0,0.1,0.8,177.8,0,0.196,6.7,86.706,76.6381,66.5702,56.5023,46.4344,-0.5,-0.39,0.39,86.706,0,0,0
Co,58.93,27,7.81,1.88,7,1,0,0,0,0,0,0,1.098371712,4.833477856,3.8,49.4,30,12.6,8,0.975127727,283,0,1050,1,6.432833635,0,0.1,0.8,177.8,0,0.196,6.7,32.99297,46.52451,32.99297,33.99297,34.99297,-0.6,-0.49,0.49,46.52451,0,0,0
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,1.019820972,4.587595908,4.3,47.85214785,26.67332667,11.98801199,13.48651349,0.967502515,223,0,1050,1,6.741439037,0,0.1,0.8,177.8,0,0.196,6.7,68.56914,86.67596,68.56914,69.56914,70.56914,-0.6,-0.49,0.49,86.67596,0,0,0
Cu,63.546,29,7.69,1.9,10,1,0,0,0,0,0,0,0.820591724,3.926659615,3.9,47.15284715,25.57442557,13.28671329,13.98601399,1.00587278,321,0,1050,1,6.077007809,0,0.1,0.8,177.8,0,0.196,6.7,47.57856,40.77032,33.96208,27.15384,20.3456,-0.5,-0.39,0.39,47.57856,0,0,0
Zn,65.38,30,9.35,1.65,10,1,0,0,0,0,0,0,2.77294826,5.070993915,4.1,50.14985015,26.47352647,12.48751249,10.88911089,1.024666886,233,0,1050,1,5.662779782,0,0.1,0.8,177.8,0,0.196,6.7,42.25165,51.89509,42.25165,43.25165,44.25165,-0.6,-0.49,0.49,51.89509,0,0,0
Pd,106.42,46,8.3,2.2,10,0,0,0,0,0,0,1,2.95,6.736730952,3.5,42.12796898,9.335918565,25.11391178,23.42220068,1.118881966,414.8779231,0,900,2,3,0,0.5,0.2,177.8,1,1,7.2,54.43934,52.33665,42.64928,36.0859,29.52252,-0.5,-0.39,0.39,54.43934,0,0,0
Co,58.93,27,7.81,1.88,7,1,0,0,0,0,0,0,0.7,8.834196804,3.7,53.95465995,0,46.04534005,0,1.02,638,1,900,2,3,0,0.1,0.32,177.8,0,0.031415927,6.8,89.05326,97.03324,94.47738,93.05745,89.84842,-0.6,-0.49,0.49,97.03324,1,1,0
Co,58.93,27,7.81,1.88,7,1,0,0,0,0,0,0,0.9,7.692344328,3.8,34.57403924,45.43133566,19.9946251,0,1.04,692,0,900,2,3,0,0.1,0.32,177.8,0,0.031415927,6.8,85.38986,93.36984,92.40429,91.29675,90.50159,-0.6,-0.49,0.49,93.36984,1,0,0
Co,58.93,27,7.81,1.88,7,1,0,0,0,0,0,0,0.7,8.589306268,3.7,53.95465995,0,46.04534005,0,1.02,638,1,900,2,3,1,1,0.32,177.8,0,0.031415927,8.8,89.05326,97.03324,94.47738,93.05745,89.84842,-0.6,-0.49,0.49,97.03324,1,1,0
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,5.51,7.817211967,3.79,52.2,21.2,22.3,4.5,1.027354606,882.3579746,0,1000,3,5,0,0.5,3,177.8,1,1,7.33,60.7832,83.19262,92.58188,98.48209,80.80985,-0.8,-0.69,0.69,98.48209,1,1,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,5.32,7.674559146,3.83,54.4,16.7,19.4,9.5,1.065863632,914.801657,0,1000,3,5,0,0.5,3,177.8,1,1,7.33,74.62598,89.57505,96.09931,94.5108,91.16357,-0.7,-0.59,0.59,96.09931,1,1,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,5.32,7.8558956,3.83,54.4,16.7,19.4,9.5,1.020621516,932.8082073,0,1000,3,5,1,0.5,3,177.8,1,1,13.6,82.28305,84.98991,86.78555,87.85757,88.74199,-0.9,-0.79,0.79,88.74199,0,0,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,1,0,0,6.98,0.83,3.36,70,20,7,3,1.052777327,104,0,900,1,6.234264733,0,0.1,0.8,127,1,0.909757298,6.8,29.30315,55.4395,71.81012,79.29655,69.87341,-0.76,-0.65,0.65,80.92,0,0,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,1,0,0,2.5,1.63,4.7,67,16,10,7,1.002570836,140,0,900,1,6.890985324,0,0.1,0.8,127,1,0.921892389,6.8,57.69771,76.78771,87.09854,92.51279,88.0313,-0.76,-0.65,0.65,93.23,1,0,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,1,0,0,1.75,2.8,4.7,61,15,15,8,1.006149234,224,0,900,1,6.50376851,0,0.1,0.8,127,1,0.872547483,6.8,91.36949,94.59123,97.75713,98.48685,97.40755,-0.76,-0.65,0.65,98.73,1,1,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,1,0,0,1.8,3.61,4.7,57,14,20,8,1.025613445,287,0,900,1,6.288320443,0,0.1,0.8,127,1,0.896340946,6.8,84.24648,90.03244,94.00137,95.34431,92.89232,-0.76,-0.65,0.65,96.64,1,1,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,1,0,0,1.72,4.57,4.7,57,12,23,7,1.06017962,299,0,900,1,6.440632066,0,0.1,0.8,127,1,0.93584357,6.8,72.09316,85.72518,93.42208,94.77184,92.72683,-0.76,-0.65,0.65,95.03,1,1,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,1,0,0,1.75,2.8,4.7,61,15,15,8,1.0072281,224,0,900,1,6.254611641,0,0.5,0.8,127,1,0.915697024,7.33,79.96102,87.98945,94.43465,93.23585,85.19042,-0.76,-0.65,0.65,95.5,1,1,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,1,0,0,1.75,2.8,4.7,61,15,15,8,1.055897879,224,0,900,1,5.286583338,0,1,0.8,127,1,1.017767281,8.8,73.2614,83.4605,90.22697,83.86154,58.50417,-0.76,-0.65,0.65,91.38,1,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,3.882317736,8.665522184,4.1,47.6723306,25.60497416,18.5639422,8.158753039,1.074301081,741,1,900,2,5,0,0.5,1,177.8,1,1,7.2,82.0937,91.49373,96.10049,93.48937,92.23977,-0.7,-0.59,0.59,96.10049,1,1,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,4.211922203,8.64170245,3.9,55.22198194,24.28444218,10.81287368,9.680702201,1.067551483,789,1,900,2,5,0,0.5,1,177.8,1,1,7.2,69.07331,78.17545,84.75423,85.23487,83.73287,-0.8,-0.69,0.69,85.23487,0,0,1
none,0,0,0,0,0,1,0,0,0,0,0,0,0,9.448780248,0,43.00237208,40.32531345,9.437478821,7.234835649,1.03086179,723,1,900,2,5,0,0.5,1,177.8,1,1,7.2,36.05926,53.24218,57.95848,70.09467,66.88038,-0.8,-0.69,0.69,70.09467,0,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,3.882317736,8.665522184,4.1,47.6723306,25.60497416,18.5639422,8.158753039,1.047210139,741,1,900,2,5,1,0.5,1,177.8,1,1,7.2,64.72975,77.89725,79.78099,82.70918,84.70482,-1,-0.89,0.89,88.26713,0,0,1
none,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,100,0,0.96,718.5593788,1,1000,1,5,0,0.1,0.8,177.8,1,1.5,6.8,10.60167,18.60532,22.08166,16.17997,11.65265,-0.7,-0.59,0.59,22.08166,0,0,1
none,0,0,0,0,0,1,0,0,0,0,0,0,0,9.639920019,0,48.75559124,0,51.24440876,0,1.14,465,1,900,1,5,0,0.1,0.8,177.8,1,1.5,6.8,80.10143,85.70668,93.71034,89.02133,88.26678,-0.7,-0.59,0.59,93.71034,1,0,1
none,0,0,0,0,0,1,0,0,0,0,0,0,0,11.07004857,0,37.94021294,35.32964783,26.73013923,0,1.05,515.7913819,1,800,1,5,0,0.1,0.8,177.8,1,1.5,6.8,35.82531,61.66877,67.27402,75.87054,56.97975,-0.8,-0.69,0.69,75.87054,0,0,1
none,0,0,0,0,0,1,0,0,0,0,0,0,0,15.3473426,0,27.36630119,0,72.63369881,0,0.98,493,1,900,1,5,0,0.1,0.8,177.8,1,1.5,6.8,66.8159,75.87054,88.56321,82.36509,78.75401,-0.7,-0.59,0.59,88.56321,0,0,1
Cu,63.546,29,7.69,1.9,10,1,0,0,0,0,0,0,2.44,19.50980251,3,80.88,10.72,4.8,3.6,1.42,802.7,0,800,3,5,0,0.1,1.5,127,1,1.25,6.8,7.21156,18.25614,21.50277,20.47113,20.98695,-0.7,-0.59,0.59,21.50277,0,0,1
Cu,63.546,29,7.69,1.9,10,1,0,0,0,0,0,0,2.26,13.48351981,3.3,62.29,15.31,12.46,9.94,1.31,1031.3,0,900,3,5,0,0.1,1.5,127,1,1.25,6.8,53.30147,49.75142,38.52478,27.44985,22.50406,-0.5,-0.39,0.39,53.30147,0,0,0
Cu,63.546,29,7.69,1.9,10,1,0,0,0,0,0,0,2.18,6.802001155,3.8,42.35,19.95,25.2,12.5,1.15,1178.8,0,1000,3,5,0,0.1,1.5,127,1,1.25,6.8,69.29184,88.34679,93.62635,93.29258,94.80969,-0.9,-0.79,0.79,94.80969,1,0,1
Cu,63.546,29,7.69,1.9,10,1,0,0,0,0,0,0,1.98,4.813460132,4,37.42,16.83,31.77,13.98,1.1,1347.1,0,1100,3,5,0,0.1,1.5,127,1,1.25,6.8,80.51848,91.77547,96.35715,98.05632,99.08795,-0.9,-0.79,0.79,99.08795,1,1,1
none,0,0,0,0,0,1,0,0,0,0,0,0,0,4.509597686,0,31.59,16.87,34.82,16.72,1.18,1489.4,0,1100,3,5,0,0.1,1.5,127,1,1.25,6.8,17.15188,39.8963,66.17486,69.32409,72.26337,-0.9,-0.79,0.79,72.26337,0,0,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,0,1,1.2,3.38488143,4.7,17.88255664,14.97286683,48.45330349,18.69127304,1.38,769.603795,0,1000,1,5,0,0.1,0.2,177.8,0,0.19625,6.8,92.29772,93.55864,77.06971,39.53314,1.99657,-0.6,-0.49,0.49,93.55864,1,0,0
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,13.18585375,10.65163902,4,58.69083197,0,26.86782994,14.44133809,1.020776112,601.1285316,1,450,2,5,0,0.5,1,127,1,1,7.2,8.90755,33.68706,58.46657,74.25686,80.70423,-0.88,-0.77,0.77,84.48,0,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,14.11403542,11.96760386,4,60.54522193,0,28.74717055,10.70760752,1.01721483,579.5449365,1,500,2,5,0,0.5,1,127,1,1,7.2,31.65582,54.43291,77.21,85.5316,81.84708,-0.78,-0.67,0.67,86.96,0,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,15.71282183,11.99692584,4,60.57305984,0,26.62296469,12.80397547,1.017558505,590.0936269,1,550,2,5,0,0.5,1,127,1,1,7.2,35.46063,58.83985,82.21907,86.61253,84.45652,-0.78,-0.67,0.67,87.07,0,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,11.19895523,9.623378082,4,51.21343545,0,35.90477069,12.88179385,1.040652481,592.6475487,1,600,2,5,0,0.5,1,127,1,1,7.2,22.28238,51.60673,80.93108,83.55665,76.49205,-0.78,-0.67,0.67,85.44,0,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,0.85,3.572951448,3,43.18047045,22.29689662,21.308559,13.21407393,0.97,821,0,700,1,5,0,0.5,0.6,177.8,1,1,7.2,79.60077,93.50713,94.95863,93.90512,90.22953,-0.7,-0.59,0.59,94.95863,1,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,1.06,5.485940183,4,52.66798734,18.48486094,22.24011476,6.607036964,1.03,900,0,800,1,5,0,0.5,0.6,177.8,1,1,7.2,72.62418,83.27635,85.50044,84.96197,84.1894,-0.7,-0.59,0.59,85.50044,0,0,1
Zn,65.38,30,9.35,1.65,10,1,0,0,0,0,0,0,6.64,8.042909242,3,62.15550423,14.67282525,23.17167052,0,0.99,988,0,900,2,5,0,0.5,0.6,177.8,1,1,7.2,73.42016,75.52719,66.20946,46.89507,8.82816,-0.6,-0.49,0.49,75.52719,0,0,0
Bi,208.98,83,7.25,2.02,10,0,0,0,0,1,0,0,1.52,5.31897192,3.8,31.58645034,7.446880728,56.64245469,4.324214242,1.05,337.01,0,900,1,5,0,0.5,0.4,177.8,1,1,7.2,87.42365,94.0432,95.62816,97.86575,93.35949,-0.8,-0.69,0.69,97.86575,1,1,1
Ni,58.693,28,7.61,1.91,8,0,1,0,1,0,0,0,1.09,2.23,3.7,48.04671,26.34905,24.73837,0,1.031,1414.1,1,1000,1,2,0,0.5,0.6,177.8,1,1,7.4,81.02652,93.82874,95.4512,92.42417,88.65078,-0.66,-0.55,0.55,96.24,1,1,1
Ni,58.693,28,7.61,1.91,8,0,1,0,1,0,0,0,1.05,1.42,3.6,58.2677,16.21837,17.48282,6.3436,1.041,1421.2,1,1000,1,2,0,0.5,0.6,177.8,1,1,7.4,62.54772,81.36975,82.56977,78.61287,72.53794,-0.66,-0.55,0.55,83,0,0,1
Ni,58.693,28,7.61,1.91,8,0,1,0,1,0,0,0,1.09,2.23,3.7,48.04671,26.34905,24.73837,0,1.031,1414.1,1,1000,1,2,1,0.5,0.6,177.8,1,1.5,7.4,93.6556,97.28601,94.54517,89.0631,84.86803,-0.56,-0.45,0.45,97.62,1,1,0
Ni,58.693,28,7.61,1.91,8,0,1,0,1,0,0,0,1.05,1.42,3.6,58.2677,16.21837,17.48282,6.3436,1.041,1421.2,1,1000,1,2,1,0.5,0.6,177.8,1,1.5,7.4,69.27582,77.6548,73.52233,69.1949,63.14006,-0.56,-0.45,0.45,79.66,0,0,0
none,0,0,0,0,0,0,1,0,0,0,0,1,0,10.2,0,61.88990826,21.5733945,16.53669725,0,0.57,466.25,1,900,3,5,0,0.5,0.936,177.8,0,1,7.2,67.04064,50.0405,40.38466,28.62209,16.85952,-0.4,-0.29,0.29,82.72407,0,0,0
none,0,0,0,0,0,0,0,0,0,1,0,1,0,9.40005886,0,58.03723599,31.00554441,10.9572196,0,1.06153799,123.4,1,550,4,3,0,0.1,0.5,177.8,1,1.493817652,6.8,44.1268,49.35069,55.088,56.55128,50.36274,-0.75,-0.64,0.64,60.05,0,0,1
